Dataset Name,Size After pre-processing,Size After selecting top genes,Cluster Algo,top_genes,Base ARI,ARI_magic,ARI_knn,ARI_softimpute,ARI_simpleimpute,Base NMI,NMI_magic,NMI_knn,NMI_softimpute,NMI_simpleimpute,Base AMI,AMI_magic,AMI_knn,AMI_softimpute,AMI_simpleimpute,Base HOMO,HOMO_magic,HOMO_knn,HOMO_softimpute,HOMO_simpleimpute,Raw zero Exp val (%),magic zero Exp val (%),knn zero Exp val (%),softimpute zero Exp val (%),simpleimpute zero Exp val (%),magic Runtime (s),knn Runtime (s),softimpute Runtime (s),simpleimpute Runtime (s),magic Memory (MB),knn Memory (MB),softimpute Memory (MB),simpleimpute Memory (MB)
GSE166692_scispace_processed.h5ad,9517x24879,9517x2000,Leiden,2000,0.3897719853754987,0.4424903554116312,0.3897719853754987,0.2373066264480741,0.262594278151868,0.6580261710556785,0.679232239343528,0.6580261710556785,0.4936879508683777,0.5199781650195231,0.6511505073384335,0.6685998421261652,0.6511505073384335,0.4861616968167778,0.5131680584816254,0.5990207435599815,0.6743327744467774,0.5990207435599815,0.4334973050909639,0.4404467742418677,86.61057581170537,3.994473048229484,86.61057581170537,0.0,0.0,14.233491897583008,0.1828975677490234,48.16665601730347,0.7843155860900879,308.3581495285034,254.15264892578125,523.9827423095703,486.3292350769043
GSE166692_scispace_processed.h5ad,9517x24879,9517x5000,Leiden,5000,0.4518910419073738,0.4105664030834296,0.4518910419073738,0.2416892436321934,0.3481916661153135,0.6790605414280628,0.6817986174245692,0.6790605414280628,0.5090804194085464,0.5825029860766945,0.6723831463276644,0.6700329356082546,0.6723831463276644,0.5003912051693269,0.5759798192953607,0.6346123381007549,0.6958519903819967,0.6346123381007549,0.4498191090395359,0.5144901910190212,87.65689397919512,4.6412840180729225,87.65689397919512,0.0,0.0,17.82420301437378,0.6671087741851807,112.80087852478027,1.7965941429138184,745.1518878936768,635.375373840332,1317.3236093521118,1227.1643314361572
GSE166692_scispace_processed.h5ad,9517x24879,9517x24879,Leiden,all,0.3534210605266589,0.4653119679848337,0.3534210605266589,0.2164390793934207,0.2241923098110288,0.6031950064441007,0.7011168335780021,0.6031950064441007,0.4228589702095011,0.4449256113408523,0.5957652461085599,0.6914741526889213,0.5957652461085599,0.4151797745150995,0.4370269419379465,0.5389449176374874,0.6934019658636771,0.5389449176374874,0.355924138261422,0.3782379789316678,85.85914299518802,5.2176362532347005,85.85914299518802,0.0,0.0,89.91024398803711,5.009611368179321,639.1970191001892,22.8115234375,4331.515621185303,3161.6253900527954,6489.204526901245,6008.694781303406
