Dataset Name,Size After pre-processing,Size After selecting top genes,Cluster Algo,top_genes,Base ARI,ARI_magic,ARI_knn,ARI_softimpute,ARI_simpleimpute,ARI_scVI,ARI_gimVI,ARI_tangram,Base NMI,NMI_magic,NMI_knn,NMI_softimpute,NMI_simpleimpute,NMI_scVI,NMI_gimVI,NMI_tangram,Base AMI,AMI_magic,AMI_knn,AMI_softimpute,AMI_simpleimpute,AMI_scVI,AMI_gimVI,AMI_tangram,Base HOMO,HOMO_magic,HOMO_knn,HOMO_softimpute,HOMO_simpleimpute,HOMO_scVI,HOMO_gimVI,HOMO_tangram,Raw zero Exp val (%),magic zero Exp val (%),knn zero Exp val (%),softimpute zero Exp val (%),simpleimpute zero Exp val (%),scVI zero Exp val (%),gimVI zero Exp val (%),tangram zero Exp val (%),magic Runtime (s),knn Runtime (s),softimpute Runtime (s),simpleimpute Runtime (s),scVI Runtime (s),gimVI Runtime (s),tangram Runtime (s),magic Memory (MB),knn Memory (MB),softimpute Memory (MB),simpleimpute Memory (MB),scVI Memory (MB),gimVI Memory (MB),tangram Memory (MB)
DT2_D0_stereo-seq_processed_updated.h5ad,23259x18685,23259x2000,Leiden,2000,0.265906022,0.297384665,0.265906022,0.261517502,0.317676223,0.193053441,0.241802596,0.123547007,0.40801792,0.461915534,0.40801792,0.38494446,0.467043021,0.332394845,0.38659,0.198728403,0.407784956,0.461465917,0.407784956,0.384620857,0.466844118,0.331941882,0.386093641,0.198266731,0.326830043,0.479216532,0.326830043,0.345722016,0.393905938,0.309384499,0.378711493,0.190071898,92.88063545,0.050838385,92.88063545,0,0,0,0,0,167.7099867,0.460812092,108.6394672,1.891359806,656.9618704,737.0307417,61.7888329,753.3396101,621.2486639,1324.877975,1255.327961,374.9836302,1628.02024,5045.188059
DT2_D0_stereo-seq_processed_updated.h5ad,23259x18685,23259x5000,Leiden,5000,0.271668903,0.299757639,0.271668903,0.191557268,0.263332726,0.230976327,0.248078504,0.12482785,0.413316947,0.473527159,0.413316947,0.335361093,0.386875141,0.34917608,0.400735048,0.213498516,0.413087519,0.473048435,0.413087519,0.334879499,0.386546668,0.348836051,0.400302546,0.212945442,0.333016393,0.49264672,0.333016393,0.328254509,0.341360691,0.315724296,0.3938056,0.215187506,92.50130358,0.019602734,92.50130358,0,0,0,0,0,173.5636854,1.457398891,275.7791255,5.015562296,672.0972636,793.1002572,115.2870793,1819.737003,1552.894051,3305.219302,3127.807116,907.5186272,4026.311901,6382.042765
DT2_D0_stereo-seq_processed_updated.h5ad,23259x18685,23259x18685,Leiden,all,0.286457102,0.252612442,0.280558366,0.163439152,0.20976128,0.225412109,0.270247281,0.141897353,0.422705069,0.443679852,0.412298867,0.304122988,0.358935873,0.36610626,0.401892204,0.208793668,0.422424299,0.443009352,0.41200282,0.303574446,0.358506979,0.365688347,0.401498369,0.208177461,0.368573871,0.494295221,0.36023031,0.304098914,0.346590963,0.349991115,0.384679634,0.211260923,89.67288708,0.062217551,89.67288708,0,0,0,0,0,1559.019562,18.99261069,14511.75676,37.23327231,757.0816317,978.4890118,358.5828598,6682.642325,5802.772173,12163.63857,11407.38725,3345.424647,14958.77747,18289.48656
DX6_D2_stereo-seq_processed_updated.h5ad,14455x17864,14455x2000,Leiden,2000,0.273433634,0.270078645,0.273433634,0.120553267,0.182644583,0.191183689,0.220738848,0.152473146,0.402691224,0.462297427,0.402691224,0.227288024,0.295605401,0.291250217,0.363214522,0.248995927,0.402336244,0.461800699,0.402336244,0.22656211,0.295192533,0.290741141,0.362630634,0.248390088,0.341862175,0.442146372,0.341862175,0.213809508,0.254412896,0.256005369,0.349950928,0.233660929,86.18368731,0.002020062,86.18368731,0,0,0,0,0,41.04900932,0.287345886,72.41205001,1.095850229,414.7720892,468.6196196,25.24867487,468.9695644,386.152359,793.8934631,735.9339437,232.6640148,1013.364047,2167.136658
DX6_D2_stereo-seq_processed_updated.h5ad,14455x17864,14455x5000,Leiden,5000,0.274592275,0.235494719,0.274592275,0.10840448,0.150925684,0.209664804,0.218534271,0.138827295,0.401961815,0.429051881,0.401961815,0.222533092,0.290232891,0.334765087,0.350271974,0.225805138,0.401610367,0.42824425,0.401610367,0.221559109,0.289504945,0.334376937,0.349542401,0.225088229,0.345052331,0.459899463,0.345052331,0.224491587,0.285797618,0.289415653,0.354515852,0.215483772,84.92597717,0.003814597,84.92597717,0,0,0,0,0,43.84567833,0.892551899,182.3021104,3.025971651,431.5961475,496.7022834,48.6320107,1132.045871,965.1632309,1970.640988,1818.763569,566.1712437,2504.346163,3062.978231
DX6_D2_stereo-seq_processed_updated.h5ad,14455x17864,14455x17864,Leiden,all,0.242923815,0.194420625,0.242923815,0.124233229,0.159553454,0.201806538,0.16068529,0.143248947,0.367512389,0.385558058,0.367512389,0.233600318,0.284644099,0.325545552,0.324987598,0.215060703,0.36712621,0.384401388,0.36712621,0.232792878,0.284065652,0.324928425,0.323851157,0.214503325,0.303915898,0.440504617,0.303915898,0.224159284,0.266488917,0.314315388,0.366050336,0.191065517,84.41498532,0.017056114,84.41498532,0,0,0,0,0,241.2183139,6.434006453,740.1212263,26.1348393,460.0979066,598.2737367,151.7474771,5569.030282,3447.96283,7020.185226,6467.422149,1999.345667,8900.331214,10881.56135
FB2_D1_stereo-seq_processed_updated.h5ad,16211x18252,16211x2000,Leiden,2000,0.211516996,0.233115788,0.211516996,0.10770406,0.173377101,0.130753513,0.142335476,0.09140465,0.300957214,0.347534321,0.300957214,0.18903636,0.278353148,0.201257772,0.249830759,0.140495003,0.300409584,0.346793165,0.300409584,0.188263901,0.277749017,0.200663108,0.249001958,0.139784569,0.260671256,0.344860803,0.260671256,0.178836916,0.261927545,0.182534724,0.254677952,0.133883228,86.04969465,0.002612424,86.04969465,0,0,0,0,0,55.11554122,0.316649437,81.98415804,1.295830727,457.4639578,517.6119905,32.04510093,525.9096937,433.0462027,889.6589289,824.3157797,260.2389755,1135.442337,2647.122111
FB2_D1_stereo-seq_processed_updated.h5ad,16211x18252,16211x5000,Leiden,5000,0.206018336,0.230448449,0.206018336,0.100890653,0.133812452,0.129684406,0.150617963,0.088289285,0.304884338,0.345592981,0.304884338,0.173556437,0.213194406,0.205870134,0.25119213,0.135311132,0.304514332,0.344800417,0.304514332,0.172693417,0.212531149,0.205283093,0.250434267,0.134515266,0.257626946,0.353711962,0.257626946,0.16849141,0.199264021,0.188032474,0.251456084,0.132371139,84.62887669,0.006723829,84.62887669,0,0,0,0,0,60.67641592,1.04997015,203.4221799,3.346837759,470.7777193,551.2395356,59.14525628,1269.403382,1082.388878,2206.342167,2034.157078,636.0155125,2807.857291,3578.571332
FB2_D1_stereo-seq_processed_updated.h5ad,16211x18252,16211x18252,Leiden,all,0.152826279,0.149903835,0.156190379,0.075524811,0.094866724,0.127831456,0.111141323,0.064702824,0.25494632,0.305604742,0.249697519,0.156571075,0.182569933,0.211303877,0.229888198,0.111296209,0.254398161,0.304313681,0.249147204,0.155557802,0.181592858,0.210492982,0.228529137,0.110309891,0.233946896,0.353814749,0.229816246,0.161503041,0.189301351,0.208390817,0.264437408,0.112949228,83.44306043,0.079361729,83.44306043,0,0,0,0,0,356.8694096,6.35438633,2017.675395,30.46838474,529.7942581,686.6395772,181.7091014,6558.121292,3950.770119,8000.096208,7344.713041,2280.024827,10187.62573,12463.75329
