Dataset Name,Size After pre-processing,Size After selecting top genes,Cluster Algo,top_genes,Base ARI,ARI_magic,ARI_knn,ARI_softimpute,ARI_simpleimpute,ARI_scVI,ARI_gimVI,ARI_tangram,Base NMI,NMI_magic,NMI_knn,NMI_softimpute,NMI_simpleimpute,NMI_scVI,NMI_gimVI,NMI_tangram,Base AMI,AMI_magic,AMI_knn,AMI_softimpute,AMI_simpleimpute,AMI_scVI,AMI_gimVI,AMI_tangram,Base HOMO,HOMO_magic,HOMO_knn,HOMO_softimpute,HOMO_simpleimpute,HOMO_scVI,HOMO_gimVI,HOMO_tangram,Raw zero Exp val (%),magic zero Exp val (%),knn zero Exp val (%),softimpute zero Exp val (%),simpleimpute zero Exp val (%),scVI zero Exp val (%),gimVI zero Exp val (%),tangram zero Exp val (%),magic Runtime (s),knn Runtime (s),softimpute Runtime (s),simpleimpute Runtime (s),scVI Runtime (s),gimVI Runtime (s),tangram Runtime (s),magic Memory (MB),knn Memory (MB),softimpute Memory (MB),simpleimpute Memory (MB),scVI Memory (MB),gimVI Memory (MB),tangram Memory (MB)
151669_visium_processed.h5ad,1333x14539,1333x14539,Leiden,all,0.405786371,0.174482201,0.387418352,0.099543275,0.238995858,0.195989491,0.239654857,0.348866457,0.439738753,0.312485161,0.434869444,0.175804165,0.317812088,0.246200874,0.362799424,0.396331549,0.437000092,0.306432694,0.431331295,0.170638759,0.313113297,0.241084751,0.358945497,0.392560031,0.462853532,0.406816054,0.501819776,0.202895667,0.381973143,0.299534615,0.431956115,0.458793484,84.28691188,0,84.28691188,0,0,0,0,0,1.863547325,0.177718878,42.80835986,0.733154297,135.6052504,256.5855374,15.06719875,318.1608696,259.0276461,526.6457653,485.3725815,206.3698158,774.921443,1083.275194
151670_visium_processed.h5ad,1102x13923,1102x2000,Leiden,2000,0.191676413,0.110648028,0.191676413,0.088342718,0.218664199,0.062384047,0.148307475,0.192735683,0.216025141,0.199711905,0.216025141,0.172999394,0.256142707,0.112815547,0.216674063,0.2093031,0.210588441,0.19224779,0.210588441,0.166449736,0.251723329,0.104986196,0.210565385,0.203811369,0.25897219,0.268681416,0.25897219,0.213224013,0.296708792,0.14386504,0.270481113,0.250422693,88.31279492,0,88.31279492,0,0,0,0,0,0.630816936,0.039346457,7.080154896,0.113766432,98.4055016,160.7099776,3.28083396,45.98886299,29.44829559,61.37850285,57.25494766,70.20122051,179.5419941,257.8872805
151670_visium_processed.h5ad,1102x13923,1102x5000,Leiden,5000,0.232899817,0.122981517,0.24375299,0.072510809,0.194069342,0.118010314,0.229438466,0.222817425,0.322077525,0.253376767,0.327922673,0.159723783,0.244949624,0.191388783,0.303595057,0.308276869,0.317378591,0.247024816,0.323252953,0.153195841,0.239690304,0.18510075,0.298745719,0.302299675,0.386030789,0.331154797,0.39230468,0.199898633,0.292687321,0.239502674,0.362896608,0.398107978,85.78909256,0,85.78909256,0,0,0,0,0,0.990844727,0.072635651,12.84414744,0.225812674,102.5515497,170.5703621,5.628143549,97.71589756,73.61390686,151.0983028,140.0407372,97.63931084,295.7702799,391.5874615
151670_visium_processed.h5ad,1102x13923,1102x13923,Leiden,all,0.366837948,0.161256637,0.366135352,0.073989423,0.224223588,0.194750428,0.263784829,0.267787927,0.437424537,0.313178423,0.422353121,0.151655152,0.336334281,0.260394088,0.378475189,0.407068942,0.434079369,0.306177265,0.418889449,0.144305389,0.331118831,0.254611798,0.373674493,0.402478365,0.506218851,0.430773373,0.48529237,0.195644863,0.417114775,0.324156276,0.475579913,0.510707421,84.28352308,0,84.28352308,0,0,0,0,0,1.496835232,0.173709631,32.86755252,0.583052635,111.6001894,202.9056251,11.71039128,251.5719528,205.118041,416.9571905,384.3538609,176.4642544,635.6834869,912.8228922
151671_visium_processed.h5ad,1808x14976,1808x2000,Leiden,2000,0.154618133,0.089332877,0.150169883,0.153557331,0.271230434,0.143445908,0.184609405,0.153409832,0.183463517,0.170039116,0.179088943,0.292107627,0.334383726,0.172937278,0.234400678,0.183312739,0.180210792,0.164350954,0.175821651,0.288941003,0.33284689,0.169175419,0.230315737,0.180531821,0.203012145,0.221590357,0.198332919,0.336086038,0.317168905,0.196804458,0.291141603,0.197110779,91.23940819,0,91.23940819,0,0,0,0,0,1.219649076,0.057588339,11.32614374,0.169674635,158.1062932,256.0996428,4.898263931,84.52295876,48.30052948,102.219182,96.2976799,80.98799801,228.989315,308.458663
151671_visium_processed.h5ad,1808x14976,1808x5000,Leiden,5000,0.151595027,0.099977735,0.154329604,0.152181254,0.271706407,0.175774316,0.258404639,0.147697313,0.193404697,0.162383478,0.186832002,0.293277981,0.301748391,0.209462582,0.305182314,0.193176754,0.190216001,0.157521939,0.183500744,0.290112258,0.29901692,0.205989422,0.301378036,0.19003096,0.215523313,0.206423001,0.203485875,0.336969005,0.339392755,0.245042484,0.371178036,0.217981047,89.58740044,0,89.58740044,0,0,0,0,0,1.616022348,0.090618372,22.04933882,0.336721182,160.956068,265.8942924,8.864483118,168.5715647,120.7444916,253.0413055,237.4121008,123.9274454,417.981307,641.950511
151671_visium_processed.h5ad,1808x14976,1808x14976,Leiden,all,0.478926538,0.240155338,0.478136865,0.170857759,0.308441348,0.310977376,0.295658226,0.416063496,0.526566007,0.395518651,0.526578067,0.292186935,0.362455904,0.364720603,0.457712652,0.506258158,0.524950835,0.391136901,0.52496206,0.288693817,0.359956859,0.361575066,0.454324413,0.504074737,0.565147693,0.527774609,0.564862425,0.348812633,0.406978633,0.434726097,0.595565971,0.589197446,86.45083239,0.00011449,86.45083239,0,0,0,0,0,2.958497286,0.264863253,60.81600499,1.043299675,180.713685,341.6664126,22.40524244,448.030757,361.7852173,744.6581573,691.3047905,263.4780006,1039.976261,1407.512836
151672_visium_processed.h5ad,1848x14816,1848x2000,Leiden,2000,0.176220096,0.102278666,0.176609924,0.120943197,0.228615763,0.094669614,0.155163388,0.172604086,0.207138857,0.204846145,0.207805259,0.256694188,0.306979003,0.164141343,0.251656866,0.218105672,0.203989921,0.199436847,0.204700647,0.253764591,0.304663306,0.160029526,0.24805394,0.215471285,0.231343328,0.270937202,0.234730948,0.288424528,0.33787877,0.198327672,0.309082109,0.2382019,92.00257035,0,92.00257035,0,0,0,0,0,1.306762218,0.076608419,11.45169902,0.190884352,162.9861858,273.3720827,4.874707937,86.91662598,49.36825562,104.9059572,99.21255398,81.9290657,231.7674532,311.8724689
151672_visium_processed.h5ad,1848x14816,1848x5000,Leiden,5000,0.195464745,0.121058209,0.191865137,0.124294755,0.212681214,0.141922472,0.217201881,0.215960513,0.244888898,0.224480878,0.24448927,0.252971613,0.301395473,0.20479693,0.314878528,0.269592464,0.241929992,0.219971557,0.241559716,0.249712302,0.299048391,0.200945483,0.311895246,0.266711814,0.276575969,0.287674684,0.278905196,0.299626218,0.33002887,0.250223257,0.373604029,0.303678299,89.84482684,0,89.84482684,0,0,0,0,0,1.745619774,0.124563932,21.70417452,0.381441116,160.5658774,266.8424087,9.178211689,172.7945166,123.4143906,259.0008402,243.2019691,126.2409859,424.8436308,549.163003
151672_visium_processed.h5ad,1848x14816,1848x14816,Leiden,all,0.459211733,0.223245058,0.449441036,0.109259894,0.288370611,0.338251883,0.285764006,0.373805978,0.549066682,0.410525552,0.542174328,0.244204632,0.413565404,0.395308286,0.478335576,0.504408252,0.547550048,0.406325651,0.540639501,0.24016267,0.41069686,0.392297621,0.474880668,0.5022688,0.600601245,0.559886826,0.594886829,0.304847269,0.50123382,0.47250534,0.645457676,0.603354094,86.66378646,0.000124178,86.66378646,0,0,0,0,0,3.539928198,0.294958591,63.55196977,1.100307226,174.554302,341.7482648,22.32475972,453.7721672,365.834137,753.894351,700.3731804,268.0329008,1050.360117,1420.154503
