Dataset Name,Size After pre-processing,Size After selecting top genes,Cluster Algo,top_genes,Base ARI,ARI_magic,ARI_knn,ARI_softimpute,ARI_simpleimpute,Base NMI,NMI_magic,NMI_knn,NMI_softimpute,NMI_simpleimpute,Base AMI,AMI_magic,AMI_knn,AMI_softimpute,AMI_simpleimpute,Base HOMO,HOMO_magic,HOMO_knn,HOMO_softimpute,HOMO_simpleimpute,Raw zero Exp val (%),magic zero Exp val (%),knn zero Exp val (%),softimpute zero Exp val (%),simpleimpute zero Exp val (%),magic Runtime (s),knn Runtime (s),softimpute Runtime (s),simpleimpute Runtime (s),magic Memory (MB),knn Memory (MB),softimpute Memory (MB),simpleimpute Memory (MB)
151507_visium_processed.h5ad,2890x15274,2890x2000,Leiden,2000,0.192031369,0.131963765,0.201487264,0.120571476,0.158042548,0.28130124,0.267185986,0.289723858,0.220758173,0.254253639,0.2781437,0.262328033,0.286624218,0.217813554,0.251297277,0.294391719,0.324579941,0.304264741,0.233104091,0.260775077,93.99394464,0.021211073,93.99394464,0.0,0.0,2.228558064,0.046455383,15.5128684,0.201717377,443.7801409,77.19304657,165.7330627,157.6563597
151507_visium_processed.h5ad,2890x15274,2890x5000,Leiden,5000,0.196362025,0.138898532,0.209594589,0.111322817,0.179053256,0.283466158,0.299415291,0.290468616,0.201899115,0.291970126,0.280681486,0.294725865,0.287701369,0.198880209,0.28955738,0.291980855,0.360919694,0.298138091,0.212983501,0.293000952,92.41686505,0.003453287,92.41686505,0.0,0.0,3.789366961,0.174859762,34.78731227,0.532668591,291.9315872,193.1166687,410.6283951,388.6580925
151507_visium_processed.h5ad,2890x15274,2890x15274,Leiden,all,0.2669614161511932,0.183915961260055,0.2701385736000395,0.0673945646944668,0.1988454394784701,0.436482657054981,0.387759249777951,0.4421324233356877,0.1612137519456069,0.3206247060273255,0.434324592733393,0.3836342192659261,0.4399892569737383,0.1572706240979393,0.318340597333614,0.455305226233721,0.4652931352671048,0.4599322934412349,0.1767737011601896,0.3259153409158836,89.6952439249275,0.0161230179244825,89.6952439249275,0.0,0.0,6.9228925704956055,0.6537489891052246,109.33048677444458,1.8930284976959229,749.4346466064453,589.6377038955688,1235.753698348999,1159.414969444275
151508_visium_processed.h5ad,2549x14507,2549x2000,Leiden,2000,0.09808869,0.084918659,0.112392448,0.124035631,0.150694759,0.171264836,0.201870922,0.190369267,0.233593695,0.267207279,0.167441923,0.196081375,0.186212525,0.230260607,0.264334643,0.172064389,0.240447824,0.196480969,0.246842844,0.268477865,94.8665359,0.0,94.8665359,0.0,0.0,1.83858037,0.07458663,13.91239309,0.207231045,83.61036396,68.08743477,146.8742914,140.0994911
151508_visium_processed.h5ad,2549x14507,2549x5000,Leiden,5000,0.168825953,0.112073845,0.165938507,0.093468211,0.142235662,0.258674001,0.239608112,0.257816908,0.194824682,0.272478418,0.255334434,0.235248345,0.254481287,0.19172658,0.269680178,0.266285588,0.275276925,0.265678748,0.199115691,0.278627852,93.44452727,0.0,93.44452727,0.0,0.0,2.945742369,0.156016588,30.39538765,0.470483303,251.1534281,170.3524628,364.1936808,345.8346624
151508_visium_processed.h5ad,2549x14507,2549x14507,Leiden,all,0.2564688372253659,0.1724601542040094,0.2559576461047295,0.0821778102921376,0.1499647177401988,0.4078720828641008,0.3543191562309778,0.4048368078422205,0.1902483644342772,0.2846762905377792,0.4052789783097369,0.3496775400109997,0.4025622577878412,0.186267893191577,0.2822639391665041,0.4286702221385765,0.4256985291034646,0.4164655034778391,0.2045278710901382,0.2764529681747349,90.88244435398308,7.842428201826134e-05,90.88244435398308,0.0,0.0,5.2647926807403564,0.4321701526641845,89.74030017852783,1.563857078552246,624.9736490249634,493.9838752746582,1041.9304895401,981.383090019226
151509_visium_processed.h5ad,4184x15892,4184x2000,Leiden,2000,0.096181604,0.070577848,0.110322333,0.168193008,0.214299162,0.235888157,0.208105897,0.241237513,0.321515033,0.338488233,0.233446237,0.204429845,0.238793178,0.318870594,0.336348599,0.26317566,0.261459608,0.267253498,0.371949319,0.37715256,94.63575526,0.307707935,94.63575526,0.0,0.0,4.040654182,0.096909046,20.67057467,0.312696457,136.6176949,111.7465744,240.6941738,229.3707218
151509_visium_processed.h5ad,4184x15892,4184x5000,Leiden,5000,0.139819788,0.084520072,0.144037199,0.151383726,0.215537188,0.282228865,0.260259594,0.284688217,0.29037645,0.358978363,0.280434037,0.25643953,0.282628396,0.288386157,0.35685088,0.300884756,0.340280428,0.308751879,0.322365517,0.390615339,93.41465583,0.238661568,93.41465583,0.0,0.0,7.803101063,0.278033018,46.9424715,0.768075466,463.0058765,279.5003967,597.606452,567.3143044
151509_visium_processed.h5ad,4184x15892,4184x15892,Leiden,all,0.215385607,0.109324109,0.21573309,0.122673325,0.232582787,0.400293203,0.340569648,0.395485574,0.251095725,0.39205518,0.398604419,0.336821688,0.39377287,0.248778188,0.390323774,0.442471155,0.460335302,0.434792854,0.288927697,0.428790694,25.8845935,0.20924883,25.8845935,0.0,0.0,12.61443543,1.04662466,155.6343193,2.962412596,1163.010915,888.0474358,1869.310066,1758.076382
151510_visium_processed.h5ad,3722x15511,3722x2000,Leiden,2000,0.138553192,0.090927563,0.124783389,0.138025032,0.196507463,0.247543645,0.242096244,0.242740382,0.254664338,0.286100894,0.244851643,0.23728285,0.240046753,0.251158716,0.283443134,0.271964506,0.307483933,0.267965096,0.298535296,0.308115103,94.72706878,0.281407845,94.72706878,0.0,0.0,3.297599554,0.077340841,18.61935973,0.287978411,121.5645199,99.40984344,214.2358131,204.2250175
