Dataset Name,Size After pre-processing,Size After selecting top genes,Cluster Algo,top_genes,Base ARI,ARI_magic,ARI_knn,ARI_softimpute,ARI_simpleimpute,Base NMI,NMI_magic,NMI_knn,NMI_softimpute,NMI_simpleimpute,Base AMI,AMI_magic,AMI_knn,AMI_softimpute,AMI_simpleimpute,Base HOMO,HOMO_magic,HOMO_knn,HOMO_softimpute,HOMO_simpleimpute,Raw zero Exp val (%),magic zero Exp val (%),knn zero Exp val (%),softimpute zero Exp val (%),simpleimpute zero Exp val (%),magic Runtime (s),knn Runtime (s),softimpute Runtime (s),simpleimpute Runtime (s),magic Memory (MB),knn Memory (MB),softimpute Memory (MB),simpleimpute Memory (MB)
DT2_D0_stereo-seq_processed_updated.h5ad,23259x18685,23259x2000,Leiden,2000,0.265906022,0.297384665,0.265906022,0.261517502,0.317676223,0.40801792,0.461915534,0.40801792,0.38494446,0.467043021,0.407784956,0.461465917,0.407784956,0.384620857,0.466844118,0.326830043,0.479216532,0.326830043,0.345722016,0.393905938,92.88063545,0.050838385,92.88063545,0.0,0.0,167.7099867,0.460812092,108.6394672,1.891359806,753.3396101,621.2486639,1324.877975,1255.327961
DT2_D0_stereo-seq_processed_updated.h5ad,23259x18685,23259x5000,Leiden,5000,0.271668903,0.299757639,0.271668903,0.191557268,0.263332726,0.413316947,0.473527159,0.413316947,0.335361093,0.386875141,0.413087519,0.473048435,0.413087519,0.334879499,0.386546668,0.333016393,0.49264672,0.333016393,0.328254509,0.341360691,92.50130358,0.019602734,92.50130358,0.0,0.0,173.5636854,1.457398891,275.7791255,5.015562296,1819.737003,1552.894051,3305.219302,3127.807116
DT2_D0_stereo-seq_processed_updated.h5ad,23259x18685,23259x18685,Leiden,all,0.2864571018790944,0.2526124421001247,0.2805583660891246,0.1634391516478154,0.2097612801828495,0.4227050689583755,0.443679852308406,0.4122988672088726,0.3041229876575488,0.3589358734592014,0.422424299338039,0.4430093517262775,0.4120028199058757,0.3035744462595899,0.3585069787587611,0.3685738712443513,0.4942952205735624,0.3602303095103115,0.3040989140418234,0.3465909631364622,89.6728870756427,0.0622175505867925,89.6728870756427,0.0,0.0,1559.019562482834,18.992610692977905,14511.756758451462,37.233272314071655,6682.642325401306,5802.772172927856,12163.638571739197,11407.38724899292
DX6_D2_stereo-seq_processed_updated.h5ad,14455x17864,14455x2000,Leiden,2000,0.273433634,0.270078645,0.273433634,0.120553267,0.182644583,0.402691224,0.462297427,0.402691224,0.227288024,0.295605401,0.402336244,0.461800699,0.402336244,0.22656211,0.295192533,0.341862175,0.442146372,0.341862175,0.213809508,0.254412896,86.18368731,0.002020062,86.18368731,0.0,0.0,41.04900932,0.287345886,72.41205001,1.095850229,468.9695644,386.152359,793.8934631,735.9339437
DX6_D2_stereo-seq_processed_updated.h5ad,14455x17864,14455x5000,Leiden,5000,0.274592275,0.235494719,0.274592275,0.10840448,0.150925684,0.401961815,0.429051881,0.401961815,0.222533092,0.290232891,0.401610367,0.42824425,0.401610367,0.221559109,0.289504945,0.345052331,0.459899463,0.345052331,0.224491587,0.285797618,84.92597717,0.003814597,84.92597717,0.0,0.0,43.84567833,0.892551899,182.3021104,3.025971651,1132.045871,965.1632309,1970.640988,1818.763569
DX6_D2_stereo-seq_processed_updated.h5ad,14455x17864,14455x17864,Leiden,all,0.242923815,0.194420625,0.242923815,0.124233229,0.159553454,0.367512389,0.385558058,0.367512389,0.233600318,0.284644099,0.36712621,0.384401388,0.36712621,0.232792878,0.284065652,0.303915898,0.440504617,0.303915898,0.224159284,0.266488917,84.41498532,0.017056114,84.41498532,0.0,0.0,241.2183139,6.434006453,740.1212263,26.1348393,5569.030282,3447.96283,7020.185226,6467.422149
FB2_D1_stereo-seq_processed_updated.h5ad,16211x18252,16211x2000,Leiden,2000,0.211516996,0.233115788,0.211516996,0.10770406,0.173377101,0.300957214,0.347534321,0.300957214,0.18903636,0.278353148,0.300409584,0.346793165,0.300409584,0.188263901,0.277749017,0.260671256,0.344860803,0.260671256,0.178836916,0.261927545,86.04969465,0.002612424,86.04969465,0.0,0.0,55.11554122,0.316649437,81.98415804,1.295830727,525.9096937,433.0462027,889.6589289,824.3157797
FB2_D1_stereo-seq_processed_updated.h5ad,16211x18252,16211x5000,Leiden,5000,0.206018336,0.230448449,0.206018336,0.100890653,0.133812452,0.304884338,0.345592981,0.304884338,0.173556437,0.213194406,0.304514332,0.344800417,0.304514332,0.172693417,0.212531149,0.257626946,0.353711962,0.257626946,0.16849141,0.199264021,84.62887669,0.006723829,84.62887669,0.0,0.0,60.67641592,1.04997015,203.4221799,3.346837759,1269.403382,1082.388878,2206.342167,2034.157078
FB2_D1_stereo-seq_processed_updated.h5ad,16211x18252,16211x18252,Leiden,all,0.152826279,0.149903835,0.156190379,0.075524811,0.094866724,0.25494632,0.305604742,0.249697519,0.156571075,0.182569933,0.254398161,0.304313681,0.249147204,0.155557802,0.181592858,0.233946896,0.353814749,0.229816246,0.161503041,0.189301351,83.44306043,0.079361729,83.44306043,0.0,0.0,356.8694096,6.35438633,2017.675395,30.46838474,6558.121292,3950.770119,8000.096208,7344.713041
